candidate_id,solver,target_hits,score,delivery,sybil,pps,drop,risk,hops,latency,params
13271,edge,4,0.5016825098596911,0.6609521679901167,0.13990404159610398,24.139166666666668,0.33904783200988325,0.25719588771537005,5.418188522714196,1.6800934769924565,"{""adapt_step"": 0.010204244463024276, ""bandwidth_weight"": 0.8649147245855077, ""drop_threshold"": 0.4024939773452399, ""edge_penalty"": 0.9426328530110251, ""latency_weight"": 3.989544326491113, ""learned_penalty"": 11.39313901657422, ""loop_penalty"": 13.778482123149029, ""loss_weight"": 41.735606649808666, ""low_ttl_penalty"": 3.980265305724756, ""max_budget"": 0.6381638365997522, ""min_budget"": 0.08271301843548931, ""progress_weight"": 8.168483995886461, ""reputation_decay"": 0.7800973795086404, ""reputation_penalty"": 1.5764732991373933, ""risk_budget"": 0.1793488993395137, ""solver"": ""edge"", ""stability_weight"": 1.4540034315719663, ""sybil_threshold"": 0.22346466584821906, ""window_size"": 32}"
1089,edge,4,0.5005298393565486,0.6520352383444464,0.1310722561556759,23.963333333333335,0.34796476165555357,0.2517079469846348,5.593805933654709,1.7601166732698015,"{""adapt_step"": 0.10982569603921466, ""bandwidth_weight"": 1.1948383689560844, ""drop_threshold"": 0.37797145448288916, ""edge_penalty"": 0.7164631840150637, ""latency_weight"": 1.8109927614422485, ""learned_penalty"": 9.972439032803903, ""loop_penalty"": 18.17244112923575, ""loss_weight"": 76.63114828009351, ""low_ttl_penalty"": 2.54856386223248, ""max_budget"": 0.635254324525265, ""min_budget"": 0.10913644684227358, ""progress_weight"": 9.986325131801108, ""reputation_decay"": 0.7461755706370279, ""reputation_penalty"": 4.161352911862554, ""risk_budget"": 0.08528422831442681, ""solver"": ""edge"", ""stability_weight"": 3.9121957187557475, ""sybil_threshold"": 0.3657737434039696, ""window_size"": 5}"
4225,edge,4,0.49817036337515647,0.6480672520995561,0.12909944726768854,23.995833333333334,0.35193274790044393,0.2477959368689678,5.61945315086936,1.7683997934871618,"{""adapt_step"": 0.06786933314802332, ""bandwidth_weight"": 0.3625445282687914, ""drop_threshold"": 0.513208221865129, ""edge_penalty"": 3.0814730416151637, ""latency_weight"": 2.088977835208042, ""learned_penalty"": 9.724354788717271, ""loop_penalty"": 14.128803408201158, ""loss_weight"": 80.26875012850499, ""low_ttl_penalty"": 0.3858846176467279, ""max_budget"": 0.6660274737278429, ""min_budget"": 0.08971089644713474, ""progress_weight"": 9.811344284900784, ""reputation_decay"": 0.8816760541571137, ""reputation_penalty"": 1.0484561313970402, ""risk_budget"": 0.2876955657746695, ""solver"": ""edge"", ""stability_weight"": 2.0717542242348586, ""sybil_threshold"": 0.4322718461773364, ""window_size"": 12}"
6625,edge,4,0.4980251523187634,0.6466668536469807,0.12782199780402656,24.113611111111112,0.35333314635301927,0.26042723510365534,5.9086570149504105,1.8370029560553902,"{""adapt_step"": 0.03341792538729758, ""bandwidth_weight"": 0.6748324824237512, ""drop_threshold"": 0.4226146124335367, ""edge_penalty"": 2.0141175396015365, ""latency_weight"": 3.77674354698557, ""learned_penalty"": 13.103296889633759, ""loop_penalty"": 19.451918379470268, ""loss_weight"": 70.49349860852988, ""low_ttl_penalty"": 4.11174487301746, ""max_budget"": 0.6275300651747109, ""min_budget"": 0.07967296636713263, ""progress_weight"": 9.196501423487465, ""reputation_decay"": 0.8741703210591887, ""reputation_penalty"": 6.5445066963695835, ""risk_budget"": 0.1976656107911713, ""solver"": ""edge"", ""stability_weight"": 3.7713885025738647, ""sybil_threshold"": 0.43255643729626947, ""window_size"": 24}"
9777,edge,4,0.49601848699594525,0.6336669779946116,0.11542213324257188,24.006944444444443,0.3663330220053885,0.2594823043320958,6.418214457177351,2.0155140163389604,"{""adapt_step"": 0.05458106765179723, ""bandwidth_weight"": 1.0692808760442203, ""drop_threshold"": 0.24574849737222826, ""edge_penalty"": 1.5490690694623055, ""latency_weight"": 0.4094022911615953, ""learned_penalty"": 11.163066978117284, ""loop_penalty"": 19.67809967021259, ""loss_weight"": 84.71291732333046, ""low_ttl_penalty"": 2.199443955079268, ""max_budget"": 0.5495260813997153, ""min_budget"": 0.15321896747456532, ""progress_weight"": 6.447423684406475, ""reputation_decay"": 0.8703363010441598, ""reputation_penalty"": 2.8858122244927964, ""risk_budget"": 0.36155699437203975, ""solver"": ""edge"", ""stability_weight"": 2.8164730628369203, ""sybil_threshold"": 0.3041886357526556, ""window_size"": 16}"
9575,edge,4,0.49382365148133106,0.6483854279295848,0.13381643035232327,24.016111111111112,0.35161457207041524,0.26513143458788596,5.830555446347846,1.8326843522885705,"{""adapt_step"": 0.02786654649032618, ""bandwidth_weight"": 0.8771666400273269, ""drop_threshold"": 0.3047846949930836, ""edge_penalty"": 0.21800818343181927, ""latency_weight"": 1.109785262196332, ""learned_penalty"": 14.831866731997732, ""loop_penalty"": 23.611847761206928, ""loss_weight"": 34.71006111240217, ""low_ttl_penalty"": 4.362471911225095, ""max_budget"": 0.47690956004039065, ""min_budget"": 0.15131637532832914, ""progress_weight"": 5.0689534489234624, ""reputation_decay"": 0.7312287862227946, ""reputation_penalty"": 0.5905943219510452, ""risk_budget"": 0.19868718924276485, ""solver"": ""edge"", ""stability_weight"": 1.4176648534886493, ""sybil_threshold"": 0.45422674548436004, ""window_size"": 16}"
1017,edge,4,0.4931555448263814,0.644888074682458,0.1307785595465446,24.157222222222224,0.355111925317542,0.26094553607225585,5.82169491412847,1.8266758825024256,"{""adapt_step"": 0.032634916198507176, ""bandwidth_weight"": 1.1444624906018968, ""drop_threshold"": 0.31520759628089545, ""edge_penalty"": 1.1016106555540062, ""latency_weight"": 1.19194302775228, ""learned_penalty"": 9.440417532441485, ""loop_penalty"": 13.632824963988057, ""loss_weight"": 41.81607787267891, ""low_ttl_penalty"": 0.5003297911103516, ""max_budget"": 0.5124804368617102, ""min_budget"": 0.16300777986786777, ""progress_weight"": 5.5184666952181285, ""reputation_decay"": 0.7839121467869997, ""reputation_penalty"": 3.059957529029848, ""risk_budget"": 0.4215059121310447, ""solver"": ""edge"", ""stability_weight"": 1.4773755510791204, ""sybil_threshold"": 0.4589747093385361, ""window_size"": 24}"
4541,edge,4,0.49288078601668434,0.649814231758903,0.13624792447366443,23.933055555555555,0.3501857682410971,0.2656256539974972,5.3349947839133085,1.6188620174585169,"{""adapt_step"": 0.11285826406855352, ""bandwidth_weight"": 0.9083027718855432, ""drop_threshold"": 0.26897094880261885, ""edge_penalty"": 0.7600692135159015, ""latency_weight"": 4.453247672331538, ""learned_penalty"": 10.100028281981928, ""loop_penalty"": 6.297236681321797, ""loss_weight"": 8.444018416990449, ""low_ttl_penalty"": 1.0909233478823972, ""max_budget"": 0.6110285758674898, ""min_budget"": 0.16002012353687264, ""progress_weight"": 5.218071813923334, ""reputation_decay"": 0.8757274625138273, ""reputation_penalty"": 1.760151080059746, ""risk_budget"": 0.3208638560119069, ""solver"": ""edge"", ""stability_weight"": 0.7840777747370105, ""sybil_threshold"": 0.40529244974893186, ""window_size"": 8}"
6137,edge,4,0.492220294949254,0.6613714415144433,0.14972579071663356,24.0375,0.33862855848555673,0.25645271360248323,5.63034502154091,1.76997498466747,"{""adapt_step"": 0.022144653382853832, ""bandwidth_weight"": 0.3116928164232367, ""drop_threshold"": 0.6200835733122113, ""edge_penalty"": 0.7613221761825062, ""latency_weight"": 2.947643806232237, ""learned_penalty"": 6.626618522595866, ""loop_penalty"": 24.001050317909783, ""loss_weight"": 83.25936987914741, ""low_ttl_penalty"": 0.7973698654472999, ""max_budget"": 0.6340791340837582, ""min_budget"": 0.16671958450252025, ""progress_weight"": 9.925800835146243, ""reputation_decay"": 0.707284019624478, ""reputation_penalty"": 3.7216347119033664, ""risk_budget"": 0.249509937765431, ""solver"": ""edge"", ""stability_weight"": 2.3042865446652687, ""sybil_threshold"": 0.4214604152763518, ""window_size"": 12}"
15100,hybrid,4,0.4921436106552769,0.6421970683678963,0.1288623312160756,24.189166666666665,0.3578029316321038,0.24357230985616365,5.603486403572459,1.6938722723924935,"{""adapt_step"": 0.07843337987757404, ""bandwidth_weight"": 0.19666766412349124, ""drop_threshold"": 0.39704305624237846, ""edge_penalty"": 18.757267736839786, ""latency_weight"": 5.077856726694325, ""learned_penalty"": 1.9440879648121676, ""loop_penalty"": 11.47502796887381, ""loss_weight"": 64.80788246603309, ""low_ttl_penalty"": 0.7058889139683766, ""max_budget"": 0.35494216702068776, ""min_budget"": 0.10975635052773178, ""progress_weight"": 5.949249055473713, ""reputation_decay"": 0.7435211011240922, ""reputation_penalty"": 1.852114547164602, ""risk_budget"": 0.3020962917636617, ""solver"": ""hybrid"", ""stability_weight"": 2.4514098159952007, ""sybil_threshold"": 0.3383960155692248, ""window_size"": 8}"
