candidate_id,parent,stage,robust_score,mean_score,score_std,min_score,mean_delivery,min_delivery,mean_sybil,max_sybil,mean_pps,min_pps,target_hits_mean,params
5437,base,stage3,0.5095787838498411,0.41803296839612836,0.07450775706256327,0.2904941217024395,0.5960329617875886,0.5444712864079427,0.15141462389561589,0.2180769719177261,23.411334325396826,19.25267857142857,3.0,"{""adapt_step"": 0.009933857351700494, ""bandwidth_weight"": 0.8925695382216338, ""drop_threshold"": 0.3542690662239254, ""edge_penalty"": 0.693972559052936, ""latency_weight"": 5.591050719825467, ""learned_penalty"": 10.83954174026949, ""loop_penalty"": 11.138509568563412, ""loss_weight"": 53.44067706981766, ""low_ttl_penalty"": 3.7509862111949195, ""max_budget"": 0.6529486035745646, ""min_budget"": 0.06765434232251827, ""progress_weight"": 6.62606687710675, ""reputation_decay"": 0.7781562604495869, ""reputation_penalty"": 1.0761666320530312, ""risk_budget"": 0.17813800569591307, ""solver"": ""edge"", ""stability_weight"": 1.346996279275258, ""sybil_threshold"": 0.26043734956038384, ""window_size"": 32}"
1688,base,stage3,0.5090389518214754,0.4193386983530409,0.07730672374245544,0.28703042711317556,0.5925646564282485,0.5397993436388414,0.1463285001069214,0.21656581517526433,23.44607638888889,19.20357142857143,3.0,"{""adapt_step"": 0.004274029876114296, ""bandwidth_weight"": 1.124356093970044, ""drop_threshold"": 0.38151927897540466, ""edge_penalty"": 0.4606177153180995, ""latency_weight"": 5.049722593884378, ""learned_penalty"": 11.90785371822121, ""loop_penalty"": 13.258716815417415, ""loss_weight"": 65.54706690800802, ""low_ttl_penalty"": 3.2501118035549026, ""max_budget"": 0.6015146605273147, ""min_budget"": 0.15556072633791054, ""progress_weight"": 6.902100805021931, ""reputation_decay"": 0.9426409744969746, ""reputation_penalty"": 0.5818705590732038, ""risk_budget"": 0.25217197121648594, ""solver"": ""edge"", ""stability_weight"": 2.6996049283744936, ""sybil_threshold"": 0.20304231975485554, ""window_size"": 16}"
7830,top2,stage3,0.5010482758513138,0.4115399936301817,0.07477229555238094,0.28271434265786194,0.5872663961844569,0.535877800509379,0.14828861756954625,0.2164311486167407,23.435575396825396,19.258035714285715,3.0,"{""adapt_step"": 0.07347546562334079, ""bandwidth_weight"": 1.1730899344800587, ""drop_threshold"": 0.3434398711871877, ""edge_penalty"": 0.6670285679925626, ""latency_weight"": 1.7297445477306668, ""learned_penalty"": 11.459051158080399, ""loop_penalty"": 16.051762298634028, ""loss_weight"": 81.2909925741534, ""low_ttl_penalty"": 2.8001111720811145, ""max_budget"": 0.6187797499183815, ""min_budget"": 0.09853367566058939, ""progress_weight"": 7.813857866229611, ""reputation_decay"": 0.7217193466273101, ""reputation_penalty"": 4.471442318906507, ""risk_budget"": 0.09314514463194766, ""solver"": ""edge"", ""stability_weight"": 4.423488904742481, ""sybil_threshold"": 0.4269605694453232, ""window_size"": 5}"
258,top2,stage3,0.498866379391126,0.41426511199689803,0.07878431841759821,0.27870311536154946,0.6011286133183174,0.5483486794293736,0.16084001778549786,0.2342116820107615,23.46301091269841,19.24732142857143,2.8333333333333335,"{""adapt_step"": 0.09009643807059903, ""bandwidth_weight"": 1.1536264022167655, ""drop_threshold"": 0.36249984806114127, ""edge_penalty"": 0.6101335371858373, ""latency_weight"": 1.8708749859813145, ""learned_penalty"": 13.950187159566028, ""loop_penalty"": 15.240545990870393, ""loss_weight"": 78.7125757595278, ""low_ttl_penalty"": 2.463914103724014, ""max_budget"": 0.6244061588957557, ""min_budget"": 0.12634436647616623, ""progress_weight"": 10.543315184382559, ""reputation_decay"": 0.7307250084074909, ""reputation_penalty"": 4.0963281090584465, ""risk_budget"": 0.08390183898080134, ""solver"": ""edge"", ""stability_weight"": 3.952767078992617, ""sybil_threshold"": 0.4207596326355363, ""window_size"": 5}"
5109,top1,stage3,0.4983371311311951,0.4142024993215643,0.07811947733413806,0.2759057955063166,0.6012133977666283,0.5488647708737183,0.1609875953645839,0.2375722381690592,23.455357142857142,19.20267857142857,2.8333333333333335,"{""adapt_step"": 0.013153449334961093, ""bandwidth_weight"": 1.5062957441931812, ""drop_threshold"": 0.3421516776413405, ""edge_penalty"": 1.0336115680550737, ""latency_weight"": 2.011118132765925, ""learned_penalty"": 9.231034927052438, ""loop_penalty"": 9.04818369152952, ""loss_weight"": 56.930353900184514, ""low_ttl_penalty"": 4.987376906104861, ""max_budget"": 0.6874720441647886, ""min_budget"": 0.10305588012175973, ""progress_weight"": 8.203148042788145, ""reputation_decay"": 0.8715429662110427, ""reputation_penalty"": 1.6422261536886844, ""risk_budget"": 0.277459581083363, ""solver"": ""edge"", ""stability_weight"": 1.4266806865790702, ""sybil_threshold"": 0.2855488410173164, ""window_size"": 32}"
2229,top2,stage3,0.49808529456837003,0.41064422853897087,0.07768548480532675,0.27852394284505416,0.5902506958661372,0.5374769971244893,0.15246888314393883,0.2224003075633126,23.43734623015873,19.29955357142857,3.0,"{""adapt_step"": 0.08291183160675789, ""bandwidth_weight"": 1.4092288225314287, ""drop_threshold"": 0.39998934666612634, ""edge_penalty"": 0.7538441034992728, ""latency_weight"": 1.497982382961595, ""learned_penalty"": 7.734028406007149, ""loop_penalty"": 15.389327203743628, ""loss_weight"": 96.10141330535457, ""low_ttl_penalty"": 2.077086819579963, ""max_budget"": 0.6081324981588623, ""min_budget"": 0.11662489602343012, ""progress_weight"": 9.119479299566732, ""reputation_decay"": 0.7127716850231958, ""reputation_penalty"": 4.4605948597643685, ""risk_budget"": 0.08952923921768441, ""solver"": ""edge"", ""stability_weight"": 3.7855068456757097, ""sybil_threshold"": 0.27126237834515027, ""window_size"": 5}"
4065,top1,stage3,0.49794559163271995,0.41223383728218643,0.07381449658649285,0.2861873126232243,0.601648468665907,0.5515725055706466,0.1634762292423749,0.2366662793968209,23.496750992063493,19.30044642857143,2.6666666666666665,"{""adapt_step"": 0.009288028229660338, ""bandwidth_weight"": 0.5441374125165955, ""drop_threshold"": 0.3577899985070136, ""edge_penalty"": 0.6628962394697439, ""latency_weight"": 4.342128315409926, ""learned_penalty"": 8.009954838837299, ""loop_penalty"": 11.154435441779858, ""loss_weight"": 45.248369021004734, ""low_ttl_penalty"": 2.896581326665647, ""max_budget"": 0.6171911412461664, ""min_budget"": 0.06771383438907484, ""progress_weight"": 5.622812254816363, ""reputation_decay"": 0.8308471343273967, ""reputation_penalty"": 1.8700041310824342, ""risk_budget"": 0.17093737075368326, ""solver"": ""edge"", ""stability_weight"": 1.4292592234292254, ""sybil_threshold"": 0.3130978089145218, ""window_size"": 32}"
517,top2,stage3,0.49642512783822973,0.4093991513070187,0.07799627200837042,0.2772986869365627,0.5878416764848344,0.5322609219029255,0.1510274765564579,0.21769368429951252,23.40078373015873,19.105357142857144,3.0,"{""adapt_step"": 0.10217736659216928, ""bandwidth_weight"": 1.2652098921558526, ""drop_threshold"": 0.34119160870113296, ""edge_penalty"": 1.0780213015759657, ""latency_weight"": 1.8595999263087244, ""learned_penalty"": 10.748670123728393, ""loop_penalty"": 17.167448086470475, ""loss_weight"": 98.17041409363844, ""low_ttl_penalty"": 2.6246629380571287, ""max_budget"": 0.6315997934672626, ""min_budget"": 0.10621422966444763, ""progress_weight"": 9.867996428746098, ""reputation_decay"": 0.799676330451411, ""reputation_penalty"": 6.000289232426537, ""risk_budget"": 0.1318987229918248, ""solver"": ""edge"", ""stability_weight"": 4.086131042036362, ""sybil_threshold"": 0.3933694106039027, ""window_size"": 16}"
6910,top2,stage3,0.4962992777887698,0.4112704531623844,0.07976588879039516,0.2717875428120949,0.5946303675085673,0.5376133003286951,0.15663985089862692,0.2293049446923269,23.416899801587302,19.279464285714287,3.0,"{""adapt_step"": 0.134403157884661, ""bandwidth_weight"": 1.334601861674282, ""drop_threshold"": 0.3808709673360534, ""edge_penalty"": 0.5722766375813022, ""latency_weight"": 2.0052197054564522, ""learned_penalty"": 11.334696097720187, ""loop_penalty"": 18.092089751050306, ""loss_weight"": 91.13029897261272, ""low_ttl_penalty"": 2.401941290248046, ""max_budget"": 0.5995758521303616, ""min_budget"": 0.10731237222477713, ""progress_weight"": 9.996187429455556, ""reputation_decay"": 0.682615836132375, ""reputation_penalty"": 5.73650356949202, ""risk_budget"": 0.12756045877921743, ""solver"": ""edge"", ""stability_weight"": 4.85902272491982, ""sybil_threshold"": 0.46771591490436526, ""window_size"": 48}"
17,top2,stage3,0.49583840738286394,0.41084271026122193,0.07850273212594677,0.27988661346289373,0.5947536671132783,0.5437358953319187,0.15723627674301843,0.22787599640221684,23.449623015873016,19.253125,2.8333333333333335,"{""adapt_step"": 0.05969824603732633, ""bandwidth_weight"": 1.2510226207795676, ""drop_threshold"": 0.37474487029291265, ""edge_penalty"": 0.6189625802589097, ""latency_weight"": 2.065325479077174, ""learned_penalty"": 8.643069508855481, ""loop_penalty"": 15.359507912182846, ""loss_weight"": 81.87457488100713, ""low_ttl_penalty"": 2.3171465525638495, ""max_budget"": 0.6296277400762126, ""min_budget"": 0.09251717713155186, ""progress_weight"": 8.39137845876674, ""reputation_decay"": 0.7957458405194467, ""reputation_penalty"": 3.7020050840432774, ""risk_budget"": 0.05, ""solver"": ""edge"", ""stability_weight"": 4.192546364368965, ""sybil_threshold"": 0.36563874904779214, ""window_size"": 5}"
